SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
ALBERT EINSTEIN HIGH,Maryland,MD ,Albert Einstein High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1746,147,843,310,385,–,59,1746,2,14.54,120.10
ALEXANDER HAMILTON ELEMENTARY,Maryland,MD ,Alexander Hamilton Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,178,–,2,176,–,–,–,178,–,11.87,15.00
ALLEGANY HIGH,Maryland,MD ,Allegany High,Allegany County Public Schools,1-Regular school,13-City: Small,721,11,19,28,629,–,32,721,2,17.27,41.75
ALLENWOOD ELEMENTARY,Maryland,MD ,Allenwood Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,413,6,134,267,5,–,–,413,1,15.82,26.10
ALTERNATIVE PROGRAMS,Maryland,MD ,Alternative Programs,Montgomery County Public Schools,4-Alternative Education School,13-City: Small,116,1,36,68,4,–,7,116,–,†,–
ANDREW JACKSON ACADEMY,Maryland,MD ,Andrew Jackson Academy,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,513,6,56,439,5,6,1,513,–,11.15,46.00
ANNAPOLIS ELEMENTARY,Maryland,MD ,Annapolis Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,236,6,42,124,54,1,8,236,1,10.78,21.90
ANNAPOLIS HIGH,Maryland,MD ,Annapolis High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1981,60,701,530,625,2,58,1981,5,14.40,137.60
ANNAPOLIS MIDDLE,Maryland,MD ,Annapolis Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1014,12,420,311,245,1,24,1014,1,13.21,76.76
ANNAPOLIS ROAD ACADEMY,Maryland,MD ,Annapolis Road Academy,Prince George's County Public Schools,4-Alternative Education School,21-Suburb: Large,72,–,28,41,3,–,–,72,–,5.33,13.50
ANNE ARUNDEL EVENING HIGH,Maryland,MD ,Anne Arundel Evening High,Anne Arundel County Public Schools,4-Alternative Education School,21-Suburb: Large,278,2,48,72,135,1,19,278,1,†,–
APPLE GROVE ELEMENTARY,Maryland,MD ,Apple Grove Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,456,10,193,247,5,1,–,456,–,14.78,30.86
APPLICATIONS AND RESEARCH LABORATORY,Maryland,MD ,Applications and Research Laboratory,Howard County Public Schools,4-Alternative Education School,13-City: Small,0,0,0,0,0,0,0,0,0,0.00,30.00
ARBUTUS ELEMENTARY,Maryland,MD ,Arbutus Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,405,115,19,20,223,1,25,405,2,15.88,25.50
ARBUTUS MIDDLE,Maryland,MD ,Arbutus Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,964,120,48,206,526,1,59,964,4,15.96,60.40
ARCOLA ELEMENTARY,Maryland,MD ,Arcola Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,732,54,502,139,24,4,8,732,1,12.73,57.50
ARDMORE ELEMENTARY,Maryland,MD ,Ardmore Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,403,3,69,325,1,2,3,403,–,15.00,26.86
ARGYLE MIDDLE,Maryland,MD ,Argyle Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1008,82,549,269,90,1,16,1008,1,14.86,67.84
ARLINGTON ELEMENTARY,Maryland,MD ,Arlington Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,547,3,80,455,3,–,6,547,–,17.09,32.00
ARMISTEAD GARDENS ELEMENTARY/MIDDLE,Maryland,MD ,Armistead Gardens Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,790,14,489,76,191,–,16,790,4,17.17,46.00
ARNOLD ELEMENTARY,Maryland,MD ,Arnold Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,435,11,15,24,366,–,17,435,2,16.48,26.40
ARROWHEAD ELEMENTARY,Maryland,MD ,Arrowhead Elementary,Prince George's County Public Schools,1-Regular school,41-Rural: Fringe,404,2,109,277,15,–,–,404,1,11.44,35.30
ARTHUR MIDDLETON ELEMENTARY SCHOOL,Maryland,MD ,Arthur Middleton Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,480,25,79,287,49,1,38,480,1,16.00,30.00
ARUNDEL ELEMENTARY,Maryland,MD ,Arundel Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,483,–,14,461,5,–,3,483,–,15.58,31.00
ARUNDEL HIGH,Maryland,MD ,Arundel High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2122,118,171,568,1071,12,175,2122,7,18.46,114.93
ARUNDEL MIDDLE,Maryland,MD ,Arundel Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1043,55,105,256,507,3,113,1043,4,15.20,68.64
ASHBURTON ELEMENTARY,Maryland,MD ,Ashburton Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,891,150,157,135,359,2,86,891,2,17.93,49.70
ATHOLTON ELEMENTARY,Maryland,MD ,Atholton Elementary,Howard County Public Schools,1-Regular school,13-City: Small,471,42,46,102,239,1,41,471,–,13.65,34.50
ATHOLTON HIGH,Maryland,MD ,Atholton High,Howard County Public Schools,1-Regular school,13-City: Small,1504,289,130,365,625,1,93,1504,1,15.88,94.70
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,Maryland,MD ,Augusta Fells Savage Institute of Visual Arts,Baltimore City Public Schools,1-Regular school,11-City: Large,419,1,5,404,8,–,1,419,–,16.76,25.00
AVALON ELEMENTARY,Maryland,MD ,Avalon Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,347,4,103,232,1,1,4,347,2,12.48,27.80
BADEN ELEMENTARY,Maryland,MD ,Baden Elementary,Prince George's County Public Schools,1-Regular school,41-Rural: Fringe,244,–,48,119,59,–,15,244,3,13.63,17.90
BAINBRIDGE ELEMENTARY,Maryland,MD ,Bainbridge Elementary,Cecil County Public Schools,1-Regular school,22-Suburb: Mid-size,287,–,9,10,245,1,21,287,1,12.01,23.90
BAKERFIELD ELEMENTARY,Maryland,MD ,Bakerfield Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,427,12,77,134,153,2,49,427,–,13.62,31.35
BALLENGER CREEK ELEMENTARY,Maryland,MD ,Ballenger Creek Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,650,60,143,135,248,3,58,650,3,15.14,42.92
BALLENGER CREEK MIDDLE,Maryland,MD ,Ballenger Creek Middle,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,840,63,156,173,397,5,45,840,1,16.97,49.50
BALTIMORE CITY COLLEGE,Maryland,MD ,Baltimore City College,Baltimore City Public Schools,1-Regular school,11-City: Large,1363,17,112,989,231,1,9,1363,4,20.50,66.50
BALTIMORE COLLEGIATE SCHOOL FOR BOYS,MARYLAND,MD ,Baltimore Collegiate School for Boys,Baltimore City Public Schools,1-Regular school,11-City: Large,477,–,10,463,2,–,2,477,–,22.71,21.00
BALTIMORE COUNTY HOME & HOSPITAL,Maryland,MD ,Baltimore County Home & Hospital,Baltimore County Public Schools,4-Alternative Education School,13-City: Small,0,0,0,0,0,0,0,0,0,†,0.00
BALTIMORE DESIGN SCHOOL,Maryland,MD ,Baltimore Design School,Baltimore City Public Schools,1-Regular school,11-City: Large,516,2,15,480,17,–,2,516,–,17.20,30.00
BALTIMORE HIGHLANDS ELEMENTARY,Maryland,MD ,Baltimore Highlands Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,553,12,212,143,132,–,40,553,14,15.15,36.50
BALTIMORE INTERNATIONAL ACADEMY,Maryland,MD ,Baltimore International Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,707,2,31,628,26,1,19,707,–,15.37,46.00
BALTIMORE LEADERSHIP SCHOOL FOR YOUNG WOMEN,Maryland,MD ,Baltimore Leadership School for Young Women,Baltimore City Public Schools,1-Regular school,11-City: Large,539,–,7,524,4,–,2,539,2,16.33,33.00
BALTIMORE MONTESSORI PUBLIC CHARTER SCHOOL,Maryland,MD ,Baltimore Montessori Public Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,444,3,13,266,138,–,22,444,2,25.37,17.50
BALTIMORE POLYTECHNIC INSTITUTE,Maryland,MD ,Baltimore Polytechnic Institute,Baltimore City Public Schools,1-Regular school,11-City: Large,1593,107,150,1044,262,6,20,1593,4,20.16,79.01
BALTIMORE SCHOOL FOR THE ARTS,Maryland,MD ,Baltimore School for the Arts,Baltimore City Public Schools,1-Regular school,11-City: Large,440,13,24,213,173,1,14,440,2,17.60,25.00
BANNEKER BLAKE ACADEMY FOR ARTS AND SCIENCES,MARYLAND,MD ,Banneker Blake Academy for Arts and Sciences,Baltimore City Public Schools,1-Regular school,11-City: Large,201,–,5,195,1,–,–,201,–,10.58,19.00
BANNOCKBURN ELEMENTARY,Maryland,MD ,Bannockburn Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,440,56,51,19,278,–,36,440,–,18.18,24.20
BARACK OBAMA ELEMENTARY,Maryland,MD ,Barack Obama Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,766,5,32,697,13,1,15,766,3,17.55,43.64
BARBARA INGRAM SCHOOL FOR THE ARTS,Maryland,MD ,Barbara Ingram School for the Arts,Washingtion County Public Schools,1-Regular school,13-City: Small,297,10,29,22,218,–,18,297,–,15.39,19.30
BARCLAY ELEMENTARY/MIDDLE,Maryland,MD ,Barclay Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,479,10,42,416,8,–,2,479,1,16.81,28.50
BARD HIGH SCHOOL EARLY COLLEGE,MARYLAND,MD ,Bard High School Early College,Baltimore City Public Schools,1-Regular school,11-City: Large,482,2,15,404,57,1,3,482,–,17.85,27.00
BARNABY MANOR ELEMENTARY,Maryland,MD ,Barnaby Manor Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,474,6,142,314,9,–,2,474,1,12.52,37.86
BARSTOW ELEMENTARY,Maryland,MD ,Barstow Elementary,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,613,5,35,109,390,2,70,613,2,16.98,36.10
BATTLE GROVE ELEMENTARY,Maryland,MD ,Battle Grove Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,355,2,43,74,197,2,36,355,1,15.11,23.50
BATTLE MONUMENT SCHOOL,Maryland,MD ,Battle Monument School,Baltimore County Public Schools,2-Special education school,21-Suburb: Large,73,4,5,23,36,–,5,73,–,2.49,29.30
BAY VIEW ELEMENTARY,Maryland,MD ,Bay View Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,513,9,30,47,379,1,47,513,–,14.05,36.50
BAY-BROOK ELEMENTARY/MIDDLE,Maryland,MD ,Bay-Brook Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,394,–,100,272,20,–,2,394,–,14.07,28.00
BAYARD RUSTIN ELEMENTARY,MARYLAND,MD ,Bayard Rustin Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,600,185,143,70,153,–,47,600,2,16.48,36.40
BAYSIDE ELEMENTARY SCHOOL,Maryland,MD ,Bayside Elementary School,Queen Anne's County Public Schools,1-Regular school,21-Suburb: Large,438,9,29,15,358,–,26,438,1,17.52,25.00
BCDC EDUCATIONAL CENTER,Maryland,MD ,BCDC Educational Center,Baltimore County Public Schools,4-Alternative Education School,13-City: Small,30,–,2,24,2,–,2,30,–,†,–
BEACH ELEMENTARY,Maryland,MD ,Beach Elementary,Calvert County Public Schools,1-Regular school,31-Town: Fringe,530,3,45,50,356,1,74,530,1,17.04,31.10
BEACON HEIGHTS ELEMENTARY,Maryland,MD ,Beacon Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,480,4,365,101,6,–,2,480,2,14.37,33.40
BEALL ELEMENTARY,Maryland,MD ,Beall Elementary,Allegany County Public Schools,1-Regular school,23-Suburb: Small,452,5,12,9,394,–,29,452,3,15.24,29.65
BEALL ELEMENTARY,Maryland,MD ,Beall Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,572,90,128,92,224,1,37,572,–,16.87,33.90
BEAR CREEK ELEMENTARY,Maryland,MD ,Bear Creek Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,498,7,46,65,314,–,64,498,2,15.42,32.30
BEAVER RUN SCHOOL,Maryland,MD ,Beaver Run School,Wicomico County Public Schools,1-Regular school,41-Rural: Fringe,598,9,117,274,136,1,58,598,3,14.59,41.00
BEDFORD ELEMENTARY,Maryland,MD ,Bedford Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,312,8,37,239,9,1,16,312,2,14.05,22.20
BEECHFIELD ELEMENTARY/MIDDLE,Maryland,MD ,Beechfield Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,593,5,25,544,14,–,–,593,5,18.25,32.50
BEL AIR ELEMENTARY,Maryland,MD ,Bel Air Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,507,18,63,31,372,–,21,507,2,17.19,29.50
BEL AIR ELEMENTARY,Maryland,MD ,Bel Air Elementary,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,227,5,1,1,210,–,10,227,–,13.76,16.50
BEL AIR HIGH,Maryland,MD ,Bel Air High,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1544,111,88,114,1175,–,53,1544,3,16.20,95.33
BEL AIR MIDDLE,Maryland,MD ,Bel Air Middle,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1373,91,99,109,1014,5,54,1373,1,17.39,78.94
BEL PRE ELEMENTARY,Maryland,MD ,Bel Pre Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,586,28,303,201,38,–,14,586,2,12.55,46.70
BELLE GROVE ELEMENTARY,Maryland,MD ,Belle Grove Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,290,11,62,62,123,1,31,290,–,13.06,22.20
BELLOWS SPRING ELEMENTARY,Maryland,MD ,Bellows Spring Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,803,236,91,202,218,1,49,803,6,12.65,63.50
BELLS MILL ELEMENTARY,Maryland,MD ,Bells Mill Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,619,192,54,66,270,–,37,619,–,17.34,35.70
BELMONT ELEMENTARY,Maryland,MD ,Belmont Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,333,27,37,20,226,–,23,333,–,15.49,21.50
BELMONT ELEMENTARY,Maryland,MD ,Belmont Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,266,–,2,260,2,–,1,266,1,15.65,17.00
BELTSVILLE ACADEMY,Maryland,MD ,Beltsville Academy,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1093,60,759,176,76,1,17,1093,4,13.72,79.64
BELVEDERE ELEMENTARY,Maryland,MD ,Belvedere Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,546,15,60,31,389,4,46,546,1,15.08,36.20
BENFIELD ELEMENTARY,Maryland,MD ,Benfield Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,434,7,27,3,368,1,27,434,1,15.67,27.70
BENJAMIN BANNEKER ELEMENTARY,Maryland,MD ,Benjamin Banneker Elementary,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,642,6,29,67,496,–,43,642,1,14.72,43.60
BENJAMIN BANNEKER MIDDLE,Maryland,MD ,Benjamin Banneker Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,856,89,167,546,28,–,23,856,3,14.71,58.18
BENJAMIN D. FOULOIS ACADEMY,Maryland,MD ,Benjamin D. Foulois Academy,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,548,3,14,514,6,1,10,548,–,14.05,39.00
BENJAMIN FRANKLIN HIGH SCHOOL AT MASONVILLE COVE,Maryland,MD ,Benjamin Franklin High School at Masonville Cove,Baltimore City Public Schools,1-Regular school,11-City: Large,532,3,175,229,115,3,5,532,2,16.12,33.00
BENJAMIN STODDERT MIDDLE,Maryland,MD ,Benjamin Stoddert Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,657,3,101,539,5,5,3,657,1,14.60,45.00
BENJAMIN STODDERT MIDDLE SCHOOL,Maryland,MD ,Benjamin Stoddert Middle School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,794,22,80,563,64,1,58,794,6,16.37,48.50
BENJAMIN TASKER MIDDLE SCHOOL,Maryland,MD ,Benjamin Tasker Middle School,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,948,41,100,662,116,3,17,948,9,16.18,58.60
BENNETT MIDDLE,Maryland,MD ,Bennett Middle,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,964,38,113,339,404,2,61,964,7,12.68,76.00
BERKSHIRE ELEMENTARY,Maryland,MD ,Berkshire Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,474,6,129,64,232,1,38,474,4,16.18,29.30
BERLIN INTERMEDIATE,Maryland,MD ,Berlin Intermediate,Worcester County Public Schools,1-Regular school,32-Town: Distant,810,15,78,61,591,–,62,810,3,13.13,61.67
BERRY ELEMENTARY SCHOOL,Maryland,MD ,Berry Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,985,59,101,676,63,2,79,985,5,19.21,51.28
BERWYN HEIGHTS ELEMENTARY,Maryland,MD ,Berwyn Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,473,33,292,82,60,–,6,473,–,13.14,36.00
BESTER ELEMENTARY,Maryland,MD ,Bester Elementary,Washingtion County Public Schools,1-Regular school,13-City: Small,614,2,77,163,248,–,121,614,3,15.35,40.00
BETHESDA ELEMENTARY,Maryland,MD ,Bethesda Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,650,116,93,45,350,–,46,650,–,16.21,40.10
BETHESDA-CHEVY CHASE HIGH,Maryland,MD ,Bethesda-Chevy Chase High,Montgomery County Public Schools,1-Regular school,13-City: Small,2124,110,351,296,1247,3,113,2124,4,18.50,114.80
BEVERLY FARMS ELEMENTARY,Maryland,MD ,Beverly Farms Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,585,179,60,44,259,–,42,585,1,18.22,32.10
BILLIE HOLIDAY ELEMENTARY,Maryland,MD ,James Mosher Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,282,–,1,275,2,2,2,282,–,14.46,19.50
BLADENSBURG ELEMENTARY,Maryland,MD ,Bladensburg Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,753,14,516,216,4,1,1,753,1,14.13,53.30
BLADENSBURG HIGH,Maryland,MD ,Bladensburg High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1853,27,1311,480,21,3,9,1853,2,14.82,125.00
BLUFORD DREW JEMISON STEM ACADEMY WEST,Maryland,MD ,Bluford Drew Jemison STEM Academy West,Baltimore City Public Schools,1-Regular school,11-City: Large,232,–,4,224,2,1,–,232,1,10.79,21.50
BODKIN ELEMENTARY,Maryland,MD ,Bodkin Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,565,4,24,10,502,–,23,565,2,16.28,34.70
BOHEMIA MANOR HIGH,Maryland,MD ,Bohemia Manor High,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,670,1,38,36,571,–,22,670,2,13.62,49.20
BOHEMIA MANOR MIDDLE,Maryland,MD ,Bohemia Manor Middle,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,499,2,39,34,400,1,23,499,–,13.45,37.10
BOLLMAN BRIDGE ELEMENTARY,Maryland,MD ,Bollman Bridge Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,740,65,173,277,172,1,51,740,1,12.48,59.30
BOND MILL ELEMENTARY,Maryland,MD ,Bond Mill Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,540,42,99,276,87,3,31,540,2,15.27,35.36
BONNIE BRANCH MIDDLE,Maryland,MD ,Bonnie Branch Middle,Howard County Public Schools,1-Regular school,21-Suburb: Large,750,122,114,198,264,1,50,750,1,13.64,55.00
BOOKER T. WASHINGTON MIDDLE,Maryland,MD ,Booker T. Washington Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,237,1,9,223,4,–,–,237,–,13.17,18.00
BOONSBORO ELEMENTARY,Maryland,MD ,Boonsboro Elementary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,579,2,16,15,531,–,15,579,–,18.62,31.10
BOONSBORO HIGH,Maryland,MD ,Boonsboro High,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,941,25,33,18,842,1,20,941,2,17.96,52.40
BOONSBORO MIDDLE,Maryland,MD ,Boonsboro Middle,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,752,20,27,24,656,–,24,752,1,16.73,44.96
BOWIE HIGH,Maryland,MD ,Bowie High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,2392,93,315,1626,257,3,95,2392,3,18.33,130.50
BOYD J. MICHAEL III TECHNICAL HIGH SCHOOL,Maryland,MD ,Washington County Technical High,Washingtion County Public Schools,3-Career and Technical School,22-Suburb: Mid-size,596,14,57,59,427,1,37,596,1,17.03,35.00
BRADBURY HEIGHTS ELEMENTARY,Maryland,MD ,Bradbury Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,491,2,67,411,5,1,5,491,–,12.99,37.80
BRADDOCK MIDDLE,Maryland,MD ,Braddock Middle,Allegany County Public Schools,1-Regular school,13-City: Small,600,12,13,16,501,2,56,600,–,15.44,38.86
BRADLEY HILLS ELEMENTARY,Maryland,MD ,Bradley Hills Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,590,91,35,10,393,–,61,590,–,18.97,31.10
BRANDYWINE ELEMENTARY,Maryland,MD ,Brandywine Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,388,5,40,310,14,–,17,388,2,16.23,23.90
BRIGGS CHANEY MIDDLE,Maryland,MD ,Briggs Chaney Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,896,113,209,481,65,–,26,896,2,14.18,63.20
BROAD FORD ELEMENTARY,Maryland,MD ,Broad Ford Elementary,Garrett County Public Schools,1-Regular school,32-Town: Distant,566,–,8,5,545,–,8,566,–,15.55,36.40
BROADNECK ELEMENTARY,Maryland,MD ,Broadneck Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,786,27,74,59,582,1,42,786,1,17.82,44.10
BROADNECK HIGH,Maryland,MD ,Broadneck High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2153,66,186,175,1598,7,113,2153,8,18.52,116.26
BROCK BRIDGE ELEMENTARY,Maryland,MD ,Brock Bridge Elementary,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,617,48,251,248,53,3,13,617,1,13.80,44.70
BROOKE GROVE ELEMENTARY,Maryland,MD ,Brooke Grove Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,433,58,63,105,179,–,27,433,1,13.41,32.30
BROOKHAVEN ELEMENTARY,Maryland,MD ,Brookhaven Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,456,35,222,148,38,2,11,456,–,11.54,39.50
BROOKLYN PARK ELEMENTARY,Maryland,MD ,Brooklyn Park Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,415,6,83,96,198,1,30,415,1,13.97,29.70
BROOKLYN PARK MIDDLE,Maryland,MD ,Brooklyn Park Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,796,15,149,214,350,2,65,796,1,12.84,62.00
BROWN STATION ELEMENTARY,Maryland,MD ,Brown Station Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,585,75,274,154,60,–,19,585,3,12.91,45.30
BRUNSWICK ELEMENTARY,Maryland,MD ,Brunswick Elementary,Frederick County Public Schools,1-Regular school,31-Town: Fringe,727,13,85,62,518,–,48,727,1,16.91,43.00
BRUNSWICK HIGH,Maryland,MD ,Brunswick High,Frederick County Public Schools,1-Regular school,31-Town: Fringe,743,13,66,42,575,–,45,743,2,18.11,41.02
BRUNSWICK MIDDLE,Maryland,MD ,Brunswick Middle,Frederick County Public Schools,1-Regular school,31-Town: Fringe,606,12,76,44,438,1,34,606,1,17.59,34.46
BRYANT WOODS ELEMENTARY,Maryland,MD ,Bryant Woods Elementary,Howard County Public Schools,1-Regular school,13-City: Small,458,13,60,254,86,3,41,458,1,9.96,46.00
BUCK LODGE MIDDLE,Maryland,MD ,Buck Lodge Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1148,19,991,117,13,–,4,1148,4,14.17,81.00
