X,Y,OBJECTID,NCESSCH,NAME,IPR_EST,IPR_SE,SCHOOLYEAR,LAT,LON
-75.487901999672,39.1176890000199,19202,100018000041,Dover Air Force Base Middle School,206,94,2018-2019,39.117689,-75.487902
-75.5109140004648,39.1022739997856,19203,100018000043,John S. Charlton School,323,107,2018-2019,39.102274,-75.510914
-75.487901999672,39.1176890000199,19204,100018000044,Major George S. Welch Elementary School,206,94,2018-2019,39.117689,-75.487902
-75.5526809996488,39.1012449999306,19205,100018000045,Nellie Hughes Stokes Elementary School,294,90,2018-2019,39.101245,-75.552681
-75.533588999562,39.099512000215,19206,100018000046,Star Hill Elementary School,321,80,2018-2019,39.099512,-75.533589
-75.5500310005476,39.1198099996605,19207,100018000047,W. B. Simpson Elementary School,265,77,2018-2019,39.11981,-75.550031
-75.5389220003469,39.1315849999484,19208,100018000048,W. Reily Brown Elementary School,197,76,2018-2019,39.131585,-75.538922
-75.5114929997818,39.0998290001802,19209,100018000071,F. Niel Postlethwait Middle School,320,106,2018-2019,39.099829,-75.511493
-75.5500920002467,39.1161570001288,19210,100018000072,Fred Fifer III Middle School,257,78,2018-2019,39.116157,-75.550092
-75.5500920002467,39.1161570001288,19211,100018000284,Fred Fifer III Middle School ILC,257,78,2018-2019,39.116157,-75.550092
-75.4745929994432,39.0720740001473,19212,100018000309,J. Ralph McIlvaine Early Childhood Center,230,74,2018-2019,39.072074,-75.474593
-75.5537169998626,39.1791490001949,19213,100019000011,North Dover Elementary School,229,98,2018-2019,39.179149,-75.553717
-75.5231340003228,39.1644260003785,19214,100019000049,Central Middle School,282,144,2018-2019,39.164426,-75.523134
-75.5737080003389,39.156601999904,19215,100019000050,Dover High School,270,110,2018-2019,39.156602,-75.573708
-75.5049179993956,39.1563820000725,19216,100019000051,East Dover Elementary School,158,107,2018-2019,39.156382,-75.504918
-75.5392670003195,39.169984999981,19217,100019000052,Fairview Elementary School,242,105,2018-2019,39.169985,-75.539267
-75.7165280002685,39.1664209996255,19218,100019000053,Hartly Elementary School,252,45,2018-2019,39.166421,-75.716528
-75.5403980001324,39.1612039997713,19219,100019000054,Kent County Community School,248,120,2018-2019,39.161204,-75.540398
-75.5197579998055,39.1484199996774,19220,100019000055,South Dover Elementary School,257,114,2018-2019,39.14842,-75.519758
-75.5218390000623,39.1781059997228,19221,100019000056,Towne Point Elementary School,239,143,2018-2019,39.178106,-75.521839
-75.5389850005667,39.1596999997511,19222,100019000057,Booker T. Washington Elementary School,260,123,2018-2019,39.1597,-75.538985
-75.5403980001324,39.1612039997713,19223,100019000058,William Henry Middle School,248,120,2018-2019,39.161204,-75.540398
-75.5386399997353,39.1641020003866,19224,100019000328,Kent County Secondary ILC,235,118,2018-2019,39.164102,-75.53864
-75.6836459999153,39.6450909998509,19225,100020000005,Marshall (Thurgood) Elementary School,342,80,2018-2019,39.645091,-75.683646
-75.5804830003329,39.7382720003198,19226,100020000010,Douglass School,205,75,2018-2019,39.738272,-75.580483
-75.7279609996006,39.6036140003737,19227,100020000117,Keene (William B.) Elementary School,280,83,2018-2019,39.603614,-75.727961
-75.7063679995421,39.6744309996314,19228,100020000210,Delaware School for the Deaf,303,68,2018-2019,39.674431,-75.706368
-75.7070010002791,39.7162910000677,19229,100020000214,Wilson (Etta J.) Elementary School,325,69,2018-2019,39.716291,-75.707001
-75.5402650004653,39.7442949998122,19230,100020000217,Stubbs (Frederick Douglass) Elementary School,141,55,2018-2019,39.744295,-75.540265
-75.7101039996102,39.6737190002735,19231,100020000218,Smith (Jennie E.) Elementary School,288,61,2018-2019,39.673719,-75.710104
-75.5708409995424,39.7369599999204,19232,100020000220,Pulaski (Casimir) Elementary School,169,38,2018-2019,39.73696,-75.570841
-75.7484180000983,39.655219000355,19233,100020000221,McVey (Joseph M.) Elementary School,355,61,2018-2019,39.655219,-75.748418
-75.7350430004428,39.7016459999832,19234,100020000223,Maclary (R. Elisabeth) Elementary School,466,82,2018-2019,39.701646,-75.735043
-75.6802979995664,39.6213249995135,19235,100020000224,Leasure (May B.) Elementary School,325,59,2018-2019,39.621325,-75.680298
-75.5459320003417,39.7394320000072,19236,100020000227,Pyle (Sarah) Academy,104,35,2018-2019,39.739432,-75.545932
-75.7766660001439,39.6835189997629,19237,100020000228,Downes (John R.) Elementary School,487,141,2018-2019,39.683519,-75.776666
-75.662592000076,39.6674080000245,19238,100020000229,Jones (Albert H.) Elementary School,340,76,2018-2019,39.667408,-75.662592
-75.726820999484,39.6679450003633,19239,100020000231,Brookside Elementary School,199,43,2018-2019,39.667945,-75.726821
-75.5715759998042,39.7435100002485,19240,100020000232,Bayard Middle School,230,77,2018-2019,39.74351,-75.571576
-75.5439459999482,39.7408009998404,19241,100020000233,Bancroft Elementary School,102,35,2018-2019,39.740801,-75.543946
-75.7052289995508,39.6972789999776,19242,100020000234,Shue-Medill Middle School,349,75,2018-2019,39.697279,-75.705229
-75.7105689999522,39.6722189998288,19243,100020000235,Kirk (George V.) Middle School,302,63,2018-2019,39.672219,-75.710569
-75.7179690004069,39.6585529997872,19244,100020000236,Gauger-Cobbs Middle School,374,87,2018-2019,39.658553,-75.717969
-75.7389050001499,39.6806809999267,19245,100020000238,Newark High School,263,74,2018-2019,39.680681,-75.738905
-75.7417149997762,39.6301940000222,19246,100020000239,Glasgow High School,310,83,2018-2019,39.630194,-75.741715
-75.6955039996265,39.6652369998641,19247,100020000240,Christiana High School,361,88,2018-2019,39.665237,-75.695504
-75.7110369999571,39.6744409999643,19248,100020000305,Brennen School (The),286,60,2018-2019,39.674441,-75.711037
-75.6776810001031,39.6813199996099,19249,100020000312,Gallaher (Robert S.) Elementary School,323,75,2018-2019,39.68132,-75.677681
-75.7622050002293,39.6730910002371,19250,100020000316,West Park Place Elementary School,273,115,2018-2019,39.673091,-75.762205
-75.7535370004509,39.6255150003231,19251,100020000323,Brader (Henry M.) Elementary School,301,61,2018-2019,39.625515,-75.753537
-75.5415499998146,39.7305890002493,19252,100020000325,Elbert-Palmer Elementary School,132,51,2018-2019,39.730589,-75.54155
-75.6961869994503,39.6160259998488,19253,100020000343,Oberle (William) Elementary School,343,92,2018-2019,39.616026,-75.696187
-75.708891000437,39.6724499998737,19254,100020000349,Christina Early Education Center,302,66,2018-2019,39.67245,-75.708891
-75.6261839996734,39.5649689998986,19255,100023000118,Southern Elementary School,433,106,2018-2019,39.564969,-75.626184
-75.5577850004484,39.686614000266,19256,100023000196,Leach (John G.) School,224,39,2018-2019,39.686614,-75.557785
-75.5830329995004,39.6838570001989,19257,100023000197,Wilmington Manor Elementary School,257,54,2018-2019,39.683857,-75.583033
-75.6254599997669,39.6675449996874,19258,100023000198,Pleasantville Elementary School,279,80,2018-2019,39.667545,-75.62546
-75.558682000205,39.6899469998657,19259,100023000200,Eisenberg (Harry O.) Elementary School,222,34,2018-2019,39.689947,-75.558682
-75.5587750002385,39.6871139997791,19260,100023000203,The Colwyck Center,224,36,2018-2019,39.687114,-75.558775
-75.567639999853,39.6812710001228,19261,100023000204,Castle Hills Elementary School,213,34,2018-2019,39.681271,-75.56764
-75.5763729994694,39.6652100001089,19262,100023000205,Downie (Carrie) Elementary School,261,53,2018-2019,39.66521,-75.576373
-75.5857560000284,39.6769180004164,19263,100023000206,Read (George) Middle School,245,48,2018-2019,39.676918,-75.585756
-75.6300839994033,39.5642850001172,19264,100023000208,Bedford (Gunning) Middle School,472,100,2018-2019,39.564285,-75.630084
-75.5848790003701,39.6686220001789,19265,100023000209,Penn (William) High School,252,54,2018-2019,39.668622,-75.584879
-75.6669359999847,39.583434999669,19266,100023000237,Wilbur (Kathleen H.) Elementary,539,117,2018-2019,39.583435,-75.666936
-75.5588079996687,39.6978969997403,19267,100023000271,McCullough (Calvin R. ) Middle School,221,25,2018-2019,39.697897,-75.558808
-75.5707110004386,39.6644500000497,19268,100023000366,New Castle Elementary School,270,57,2018-2019,39.66445,-75.570711
-75.5870340005507,39.6705690000412,19269,100023000378,The Wallace Wallin School,248,54,2018-2019,39.670569,-75.587034
-75.5668580004973,38.4588030002892,19270,100027000078,Delmar Middle School,209,63,2018-2019,38.458803,-75.566858
-75.5668580004973,38.4588030002892,19271,100027000080,Delmar High School,209,63,2018-2019,38.458803,-75.566858
-75.5669059998758,38.4587359995813,19272,100027000386,Delmar Middle Level ILC,209,62,2018-2019,38.458736,-75.566906
-75.2233409998355,38.5202200002301,19273,100068000065,Carver (G.W.) Educational Center,257,27,2018-2019,38.52022,-75.223341
-75.3995519996709,38.7054179999202,19274,100068000067,North Georgetown Elementary School,170,33,2018-2019,38.705418,-75.399552
-75.1857579996794,38.6305520000928,19275,100068000074,Long Neck Elementary School,266,66,2018-2019,38.630552,-75.185758
-75.2256900004548,38.4619930000251,19276,100068000075,Southern Delaware School of the Arts,247,56,2018-2019,38.461993,-75.22569
-75.278395000079,38.5850980004231,19277,100068000081,East Millsboro Elementary School,237,53,2018-2019,38.585098,-75.278395
-75.2368639999164,38.5361319997604,19278,100068000082,Clayton (John M.) Elementary School,253,22,2018-2019,38.536132,-75.236864
-75.3903009997651,38.6846399998261,19279,100068000083,Georgetown Elementary School,217,31,2018-2019,38.68464,-75.390301
-75.4093780002117,38.6936980003679,19280,100068000084,Ennis (Howard T.) School,228,40,2018-2019,38.693698,-75.409378
-75.2302619995963,38.5424100000992,19281,100068000085,Indian River High School,253,23,2018-2019,38.54241,-75.230262
-75.0999360005879,38.5451899999083,19282,100068000086,Lord Baltimore Elementary School,322,64,2018-2019,38.54519,-75.099936
-75.2090799996685,38.4622129996825,19283,100068000087,Selbyville Middle School,276,67,2018-2019,38.462213,-75.20908
-75.2152130005594,38.4615009996833,19284,100068000088,Showell (Phillip C.) Elementary School,259,60,2018-2019,38.461501,-75.215213
-75.3261100004343,38.6303470002318,19285,100068000090,Sussex Central High School,273,107,2018-2019,38.630347,-75.32611
-75.3903009997651,38.6846399998261,19286,100068000245,Georgetown Middle School,217,31,2018-2019,38.68464,-75.390301
-75.2878659995352,38.5901660001428,19287,100068000303,Millsboro Middle School,221,46,2018-2019,38.590166,-75.287866
-75.3903009997651,38.6846399998261,19288,100068000376,Georgetown Kindergarten Center,217,31,2018-2019,38.68464,-75.390301
-75.226375000267,38.4613460001734,19289,100068000384,Indian River Intensive Learning Center,248,57,2018-2019,38.461346,-75.226375
-75.5464239998009,39.072383999867,19290,100075000092,POLYTECH High School,332,98,2018-2019,39.072384,-75.546424
-75.5526479999442,38.9902909999121,19291,100079000077,Lake Forest Central Elementary School,270,77,2018-2019,38.990291,-75.552648
-75.4732709994611,39.0069219999477,19292,100079000094,Lake Forest East Elementary School,251,51,2018-2019,39.006922,-75.473271
-75.5514880001536,38.9878800003829,19293,100079000095,Lake Forest High School,267,74,2018-2019,38.98788,-75.551488
-75.5700050004646,39.0076509998173,19294,100079000096,Lake Forest North Elementary School,238,59,2018-2019,39.007651,-75.570005
-75.5831680004323,38.9303570002036,19295,100079000097,Lake Forest South Elementary School,206,39,2018-2019,38.930357,-75.583168
-75.5820529996399,38.9287630003734,19296,100079000098,Chipman (W.T.) Middle School,203,40,2018-2019,38.928763,-75.582053
-75.5829389999793,38.9226850003758,19297,100079000383,Delaware Early Childhood Center,202,42,2018-2019,38.922685,-75.582939
-75.5656130002082,38.5465100004527,19298,100081000100,Laurel Senior High School,237,87,2018-2019,38.54651,-75.565613
-75.5681820002331,38.5643129997027,19299,100081000101,North Laurel Elementary School,172,59,2018-2019,38.564313,-75.568182
-75.5817380004721,38.5564070004068,19300,100081000310,Dunbar (Paul Laurence) Elementary School,138,39,2018-2019,38.556407,-75.581738
-75.569050999675,38.5520169999182,19301,100081000364,Laurel Elementary School,238,62,2018-2019,38.552017,-75.569051
-75.5663419999894,38.5459820000073,19302,100081000365,Laurel Intermediate Middle School,236,88,2018-2019,38.545982,-75.566342
-75.4177960003121,38.8695109999262,19303,100108000002,Morris (Evelyn I.) Early Childhood,297,103,2018-2019,38.869511,-75.417796
-75.431363000441,38.9205550000529,19304,100108000107,Banneker (Benjamin) Elementary School,283,107,2018-2019,38.920555,-75.431363
-75.4176819995912,38.906730000187,19305,100108000109,Ross (Lulu M.) Elementary School,226,81,2018-2019,38.90673,-75.417682
-75.4273289994554,38.9300129998424,19306,100108000111,Milford Senior High School,355,137,2018-2019,38.930013,-75.427329
-75.4160109995363,38.9056549996897,19307,100108000344,Mispillion Elementary,219,83,2018-2019,38.905655,-75.416011
-75.4270759996382,38.9306620001311,19308,100108000345,Milford Central Academy,351,137,2018-2019,38.930662,-75.427076
-75.5364209996928,39.8046780000288,19309,100124000009,Springer Middle School,478,70,2018-2019,39.804678,-75.536421
-75.4638980004721,39.8037590001039,19310,100124000062,Claymont Elementary School,279,50,2018-2019,39.803759,-75.463898
-75.521366000451,39.8001470000162,19311,100124000242,Brandywine High School,546,77,2018-2019,39.800147,-75.521366
-75.5329050002806,39.7643579997456,19312,100124000243,duPont (Pierre S.) Middle School,317,97,2018-2019,39.764358,-75.532905
-75.5049580002324,39.772474999957,19313,100124000246,Mount Pleasant High School,493,158,2018-2019,39.772475,-75.504958
-75.5248509999085,39.8302950002208,19314,100124000247,Concord High School,567,74,2018-2019,39.830295,-75.524851
-75.5260609995009,39.8206809999231,19315,100124000277,Bush (Charles W.) Pre-School,600,66,2018-2019,39.820681,-75.526061
-75.472346999869,39.7923979999087,19316,100124000281,Maple Lane Elementary School,293,51,2018-2019,39.792398,-75.472347
-75.5351509996898,39.7845409995819,19317,100124000282,Lombardy Elementary School,706,99,2018-2019,39.784541,-75.535151
-75.4942879995245,39.8231230002385,19318,100124000283,Lancashire Elementary School,503,39,2018-2019,39.823123,-75.494288
-75.5299439994138,39.762940000223,19319,100124000285,Harlan (David W. ) Elementary School,299,94,2018-2019,39.76294,-75.529944
-75.5046199996749,39.8062129999603,19320,100124000288,Forwood Elementary School,506,69,2018-2019,39.806213,-75.50462
-75.5022199997818,39.7883039999453,19321,100124000291,Carrcroft Elementary School,503,103,2018-2019,39.788304,-75.50222
-75.5260609995009,39.8206809999231,19322,100124000293,Hanby Elementary School,600,66,2018-2019,39.820681,-75.526061
-75.4722700003616,39.8230569996749,19323,100124000294,Talley Middle School,408,104,2018-2019,39.823057,-75.47227
-75.4963180005661,39.7706479996537,19324,100124000318,Mount Pleasant Elementary School,428,139,2018-2019,39.770648,-75.496318
-75.4652649998023,39.8025929997202,19325,100124000385,Brandywine SITE,286,49,2018-2019,39.802593,-75.465265
-75.6269180000818,39.7261069999177,19326,100128000154,Delcastle Technical High School,227,78,2018-2019,39.726107,-75.626918
-75.6667529994875,39.5279450002346,19327,100128000181,St. Georges Technical High School,406,129,2018-2019,39.527945,-75.666753
-75.7403330004003,39.6009179999218,19328,100128000296,Hodgson (Paul M.) Vocational Technical High School,364,128,2018-2019,39.600918,-75.740333
-75.5409759996047,39.7456229995981,19329,100128000297,Howard High School of Technology,139,55,2018-2019,39.745623,-75.540976
-75.5874579998013,39.7536889995696,19330,100130000004,Calloway (Cab) School of the Arts,269,138,2018-2019,39.753689,-75.587458
-75.6537189994855,39.7432369997251,19331,100130000104,Brandywine Springs School,367,59,2018-2019,39.743237,-75.653719
-75.5497720003907,39.7514610003543,19332,100130000116,First State School,345,188,2018-2019,39.751461,-75.549772
-75.7140589997421,39.7667050003402,19333,100130000179,North Star Elementary School,773,119,2018-2019,39.766705,-75.714059
-75.5449749997214,39.7522990000963,19334,100130000219,Shortlidge (Evan G.) Academy,211,96,2018-2019,39.752299,-75.544975
-75.5907259996058,39.7229849995013,19335,100130000248,Richardson Park Learning Center,322,83,2018-2019,39.722985,-75.590726
-75.6839859999975,39.7041969995432,19336,100130000249,Meadowood Program,338,72,2018-2019,39.704197,-75.683986
-75.5487509996886,39.7585479999895,19337,100130000250,Warner Elementary School,366,152,2018-2019,39.758548,-75.548751
-75.5910490005271,39.7233950000551,19338,100130000252,Richardson Park Elementary School,324,81,2018-2019,39.723395,-75.591049
-75.6382129994739,39.7354260002491,19339,100130000254,Mote (Anna P.) Elementary School,290,53,2018-2019,39.735426,-75.638213
-75.6249010005072,39.7420990003041,19340,100130000255,Marbrook Elementary School,363,56,2018-2019,39.742099,-75.624901
-75.5578370001466,39.7494230000094,19341,100130000258,Lewis (William C.) Dual Language Elementary School,394,168,2018-2019,39.749423,-75.557837
-75.5658679998455,39.7618590000677,19342,100130000261,Highlands Elementary School,537,161,2018-2019,39.761859,-75.565868
-75.6852810001135,39.722664000195,19343,100130000262,Heritage Elementary School,361,67,2018-2019,39.722664,-75.685281
-75.5993579996113,39.74356599958,19344,100130000264,Baltz (Austin D.) Elementary School,273,85,2018-2019,39.743566,-75.599358
-75.6833040004523,39.705035999905,19345,100130000265,Forest Oak Elementary School,329,69,2018-2019,39.705036,-75.683304
-75.651010999874,39.7142390000568,19346,100130000266,Stanton Middle School,281,71,2018-2019,39.714239,-75.651011
-75.6873589997554,39.7242139997297,19347,100130000267,Skyline Middle School,375,68,2018-2019,39.724214,-75.687359
-75.6916190002744,39.8004000005047,19348,100130000269,duPont (H.B.) Middle School,674,140,2018-2019,39.8004,-75.691619
-75.6013139995074,39.7226550001357,19349,100130000270,Conrad Schools of Science,373,85,2018-2019,39.722655,-75.601314
-75.5834070001996,39.7677280001417,19350,100130000272,duPont (Alexis I.) Middle School,679,262,2018-2019,39.767728,-75.583407
-75.666397000181,39.7578589998626,19351,100130000274,McKean (Thomas) High School,569,110,2018-2019,39.757859,-75.666397
-75.674025000424,39.7280450004569,19352,100130000275,Dickinson (John) High School,419,78,2018-2019,39.728045,-75.674025
-75.6009070001781,39.7776869998799,19353,100130000276,duPont (Alexis I.) High School,706,231,2018-2019,39.777687,-75.600907
-75.6078829995459,39.7178379996711,19354,100130000315,Richey Elementary School,274,66,2018-2019,39.717838,-75.607883
-75.6522010002447,39.7120929998812,19355,100130000324,Central School (The),269,71,2018-2019,39.712093,-75.652201
-75.6928719995191,39.7338690000581,19356,100130000334,Linden Hill Elementary School,450,69,2018-2019,39.733869,-75.692872
-75.6691330005018,39.7668869997822,19357,100130000371,William F. Cooke Jr. Elementary,716,94,2018-2019,39.766887,-75.669133
-75.6063479998188,38.6309909999638,19358,100153000020,Blades Elementary School,230,70,2018-2019,38.630991,-75.606348
-75.6161380003941,38.6513900000256,19359,100153000155,Seaford Central Elementary School,287,92,2018-2019,38.65139,-75.616138
-75.6121300001205,38.6485379997035,19360,100153000156,Seaford Middle School,229,73,2018-2019,38.648538,-75.61213
-75.603848000056,38.6456429997014,19361,100153000157,Frederick Douglass Elementary School,176,75,2018-2019,38.645643,-75.603848
-75.6135999994271,38.6519090001544,19362,100153000158,Seaford Senior High School,280,91,2018-2019,38.651909,-75.6136
-75.6318720001833,38.6429090001538,19363,100153000160,West Seaford Elementary School,178,67,2018-2019,38.642909,-75.631872
-75.6161380003941,38.6513900000256,19364,100153000322,Sussex Orthopedic Program,287,92,2018-2019,38.65139,-75.616138
-75.6237780005538,39.3025950000461,19365,100162000141,Smyrna Middle School,285,114,2018-2019,39.302595,-75.623778
-75.6110930001754,39.2738130001013,19366,100162000216,Sunnyside Elementary School,236,115,2018-2019,39.273813,-75.611093
-75.6083780004203,39.2954939998642,19367,100162000298,Smyrna Elementary School,212,100,2018-2019,39.295494,-75.608378
-75.6271310002751,39.2996689998482,19368,100162000299,Smyrna High School,346,127,2018-2019,39.299669,-75.627131
-75.6053219996605,39.2985929999976,19369,100162000300,Moore (John Bassett) School,153,74,2018-2019,39.298593,-75.605322
-75.6135020002163,39.3044730001866,19370,100162000301,North Smyrna Elementary School,303,91,2018-2019,39.304473,-75.613502
-75.6361849993512,39.2880140002677,19371,100162000302,Clayton Elementary School,203,84,2018-2019,39.288014,-75.636185
-75.6464470000734,39.2718089999341,19372,100162000352,Clayton Intermediate School,348,112,2018-2019,39.271809,-75.646447
-75.4421709999686,38.644046999621,19373,100168000170,Sussex Technical High School,224,64,2018-2019,38.644047,-75.442171
-75.600862000003,38.7399160002962,19374,100185000073,Woodbridge Middle School,174,47,2018-2019,38.739916,-75.600862
-75.5871030004735,38.8038110002925,19375,100185000193,Woodbridge Early Childhood Education Center,265,65,2018-2019,38.803811,-75.587103
-75.6125729997417,38.7782950000128,19376,100185000194,Woodbridge High School,287,110,2018-2019,38.778295,-75.612573
-75.6027579996702,38.7504639999376,19377,100185000370,Phillis Wheatley Elementary School,230,64,2018-2019,38.750464,-75.602758
-76.9906120004955,38.8806829999212,19378,110000500219,Cesar Chavez PCS for Public Policy - Capitol Hill,592,227,2018-2019,38.880683,-76.990612
-76.9490570000536,38.9013380000567,19379,110000500328,Cesar Chavez PCS for Public Policy - Parkside MS,131,34,2018-2019,38.901338,-76.949057
-77.0256010001777,38.9295799999419,19380,110000500377,Cesar Chavez PCS for Public Policy - Chavez Prep,426,146,2018-2019,38.92958,-77.025601
-76.9490570000536,38.9013380000567,19381,110000500456,Cesar Chavez PCS for Public Policy - Parkside HS,131,34,2018-2019,38.901338,-76.949057
-76.9463070000017,38.8975110002267,19382,110000800338,Friendship PCS - Collegiate Academy,146,43,2018-2019,38.897511,-76.946307
-76.9970010001072,38.847539999653,19383,110000800382,Friendship PCS - Southeast ES,183,56,2018-2019,38.84754,-76.997001
-76.9962920003105,38.8482999997688,19384,110000800422,Friendship PCS - Technology Preparatory MS,188,62,2018-2019,38.8483,-76.996292
